,hash,offset_difference,song_id
0,e596f3057c2245a9400162a517163a,1245,5f7d934a37d3e67dcca323b1
1,e1306e8133136e4e4bf9c6d2778054,6587,5f7d934a37d3e67dcca3237d
2,d236de1a792175456807d6a37fbf0a,5720,5f7d934a37d3e67dcca324a1
3,ce687a4c2475cc29d9a180b747b0a4,2154,5f7d91449fcf6858e3cae1b4
4,ae3471a4120b1fc63f9273366ec4f4,4526,5f7d934b37d3e67dcca325ec
5,7bc4d4b10ec8b16aed64934e8dd74e,3371,5f7d934a37d3e67dcca323b1
6,77062e771324387a98cec5844de8c8,3039,5f7d934b37d3e67dcca324fe
7,5425884c781118685a6bd53657785d,-128,5f7d934a37d3e67dcca32406
8,4436420f53f22e253677b5fca3ecc6,5982,5f7d934c37d3e67dcca3268d
9,31fe91cdeb3a31b487a9081ab56ca9,794,5f7d934a37d3e67dcca32406
10,2fca904dff040bb05b43568987893c,-67,5f7d934b37d3e67dcca324fe
11,046f9246d559564d18486dfedb8f2d,4783,5f7d934a37d3e67dcca32402
