,hash,offset_difference,song_id
0,fd3187acdc0f3464f9f43a317bdda2,-5132,5f7d91449fcf6858e3cae19b
1,fd3187acdc0f3464f9f43a317bdda2,-3816,5f7d91449fcf6858e3cae19b
2,fd3187acdc0f3464f9f43a317bdda2,-18,5f7d91449fcf6858e3cae1aa
3,9f16668c9e93e9873b674f73eff1a5,-3336,5f7d91449fcf6858e3cae19b
4,9f16668c9e93e9873b674f73eff1a5,-217,5f7d934a37d3e67dcca32480
5,1686fe2adc79f1b9f02188c1cb8041,-4472,5f7d91449fcf6858e3cae19b
6,a8bed4f8f96df5b76c9b05cc498061,-124,5f7d91449fcf6858e3cae1aa
7,a8bed4f8f96df5b76c9b05cc498061,-3760,5f7d91449fcf6858e3cae1aa
8,1686fe2adc79f1b9f02188c1cb8041,-4699,5f7d91449fcf6858e3cae19b
9,4c5e8f2d8bceb82034d6f2af65b31c,-2427,5f7d91449fcf6858e3cae19b
10,4c5e8f2d8bceb82034d6f2af65b31c,-2477,5f7d91449fcf6858e3cae19b
11,d69658c5c349e2a8e62fdbc28c5d6e,-382,5f7d934a37d3e67dcca32480
12,9b7a70e41bb7f1e91949857050d308,-3956,5f7d91449fcf6858e3cae206
13,7f3514c32d96c2361f7a7327ef9a2f,-493,5f7d934a37d3e67dcca32480
14,512a91115ecc11484790357c08084e,-1518,5f7d91449fcf6858e3cae19b
15,512a91115ecc11484790357c08084e,-4699,5f7d91449fcf6858e3cae19b
16,512a91115ecc11484790357c08084e,-2881,5f7d91449fcf6858e3cae19b
17,256baf926842c0073cd82ce06d9ba2,-1292,5f7d91449fcf6858e3cae19b
18,256baf926842c0073cd82ce06d9ba2,-3563,5f7d91449fcf6858e3cae19b
19,256baf926842c0073cd82ce06d9ba2,-2201,5f7d91449fcf6858e3cae19b
20,256baf926842c0073cd82ce06d9ba2,-4927,5f7d91449fcf6858e3cae19b
21,f167ce76ae815e11a2d89f749e01b7,-3563,5f7d91449fcf6858e3cae19b
22,f167ce76ae815e11a2d89f749e01b7,-4472,5f7d91449fcf6858e3cae19b
23,f167ce76ae815e11a2d89f749e01b7,-383,5f7d91449fcf6858e3cae19b
24,f167ce76ae815e11a2d89f749e01b7,-2654,5f7d91449fcf6858e3cae19b
25,f167ce76ae815e11a2d89f749e01b7,-4926,5f7d91449fcf6858e3cae19b
26,f29901139a986c41c813babfffcac0,-4472,5f7d91449fcf6858e3cae19b
27,f29901139a986c41c813babfffcac0,-383,5f7d91449fcf6858e3cae19b
28,f29901139a986c41c813babfffcac0,-2654,5f7d91449fcf6858e3cae19b
29,f29901139a986c41c813babfffcac0,-4926,5f7d91449fcf6858e3cae19b
30,2e1e5b31208fe599876ce23573ae7a,-4926,5f7d91449fcf6858e3cae19b
31,510bf24f37b8b089d3ba56814192aa,-383,5f7d91449fcf6858e3cae19b
32,8f703c71a1040c84e980bc21add27b,-4472,5f7d91449fcf6858e3cae19b
33,efcf9ed9ff5de4db4cfb9877037524,-383,5f7d91449fcf6858e3cae19b
34,061a247934d44ced56bf8d1e0b547c,-383,5f7d91449fcf6858e3cae19b
35,8a38bf6eb754e9883534eb0fda205d,-383,5f7d91449fcf6858e3cae19b
36,c4b4b7011e4d4b5ad8e4d03e0ecf99,-3695,5f7d934a37d3e67dcca32480
37,f1fabcb8c1e2d5eb9c451dbdeaecf6,-2200,5f7d91449fcf6858e3cae19b
38,77da81f68c4b9fd2143b54e89b7acd,-383,5f7d91449fcf6858e3cae19b
39,67d030891a881d188212cdcfdb4d26,-383,5f7d91449fcf6858e3cae19b
40,f0b0e819a0aafaef5ef1d88f0d6e8a,-383,5f7d91449fcf6858e3cae19b
41,11b1620e7c3f2495b573af119f2a68,-383,5f7d91449fcf6858e3cae19b
42,a6c972c53e1f07e0dfb5682d592bf8,-383,5f7d91449fcf6858e3cae19b
43,1dc419f494652edab4dce230af669d,-383,5f7d91449fcf6858e3cae19b
44,97f2ae3e09f974d4bb03c411b4ffc9,-383,5f7d91449fcf6858e3cae19b
45,9fb11df74339e80e3f464ff50d92f5,-383,5f7d91449fcf6858e3cae19b
46,b1989fe2f64310c26dad51311546a9,-383,5f7d91449fcf6858e3cae19b
47,d203393c6b6c02926efa4c08286209,-383,5f7d91449fcf6858e3cae19b
48,4b50e9a46edd1671253933b65cff23,-4528,5f7d91449fcf6858e3cae19b
