,hash,offset_difference,song_id
0,f796a47d27b476c255f8e1e0b0c38e,7188,5f7d934a37d3e67dcca3249c
1,f796a47d27b476c255f8e1e0b0c38e,7168,5f7d934a37d3e67dcca3249c
2,f517b06dfff3ee963899cf1ddf8fed,46,5f7d934c37d3e67dcca3269d
3,c808b76ad2ff5450947702294e0ac5,-61,5f7d934c37d3e67dcca3269d
4,bda828d6da2742d0ff0d0a3c994b66,5447,5f7d934c37d3e67dcca3269d
5,bda828d6da2742d0ff0d0a3c994b66,3289,5f7d934c37d3e67dcca3269d
6,bda828d6da2742d0ff0d0a3c994b66,5285,5f7d934c37d3e67dcca3269d
7,a7c996814c3185451c32cb7c50fa88,174,5f7d934c37d3e67dcca3269d
8,a7a79dcacdde04efb28d84c5bd99a6,5016,5f7d934c37d3e67dcca3269d
9,a7a79dcacdde04efb28d84c5bd99a6,-82,5f7d934c37d3e67dcca3269d
10,a741c9ddb671c5209a6e36cafbe359,-21,5f7d934c37d3e67dcca3269d
11,9d3876989af87db1f903b33265cb08,-82,5f7d934c37d3e67dcca3269d
12,89f2d76b64fe0638dca4aae883695f,-8,5f7d934c37d3e67dcca3269d
13,717a23a153dd778e0056dae68ae8ee,-102,5f7d934c37d3e67dcca3269d
14,58833ad4ca8aa1f08d64012945e8dc,66,5f7d934c37d3e67dcca3269d
15,58833ad4ca8aa1f08d64012945e8dc,174,5f7d934c37d3e67dcca3269d
16,2e1e53076064591766b9b8a4d05170,1059,5f7d934b37d3e67dcca32501
17,1ac79294a681053e6bce79557727c6,323,5f7d934c37d3e67dcca3269d
18,0e48e77250868314be184390af57c2,1924,5f7d934b37d3e67dcca32579
